t,x
0.0,0.0
0.01,0.002506260429701368
0.02,0.005025083542085751
0.03,0.007556532307862129
0.04,0.010100670013381441
0.05,0.01265756026221887
0.06,0.015227266976763909
0.07,0.01780985439981797
0.08,0.020405387096201433
0.09,0.023013929954366685
0.1,0.025635548188021273
0.11,0.028270307337757372
0.12,0.030918273272691033
0.13,0.03357951219210853
0.14,0.03625409062712137
0.15,0.03894207544232997
0.16,0.04164353383749453
0.17,0.04435853334921558
0.18,0.047087141852622416
0.19,0.04982942756306985
0.2,0.052585459037843174
0.21,0.055355305177873126
0.22,0.05813903522945718
0.23,0.06093671878599183
0.24,0.06374842578971163
0.25,0.06657422653343803
0.26,0.06941419166233687
0.27,0.07226839217568437
0.28,0.07513689942864188
0.29,0.07801978513404029
0.3,0.08091712136417217
0.31,0.08382898055259436
0.32,0.08675543549593812
0.33,0.08969655935572951
0.34,0.09265242566021814
0.35000000000000003,0.09562310830621568
0.36,0.09860868156094293
0.37,0.10160922006388673
0.38,0.10462479882866604
0.39,0.10765549324490697
0.4,0.11070137908012778
0.41000000000000003,0.11376253248163304
0.42,0.11683902997841711
0.43,0.11993094848307773
0.44,0.12303836529373857
0.45,0.1261613580959816
0.46,0.12930000496478977
0.47000000000000003,0.13245438436649803
0.48,0.13562457516075588
0.49,0.13881065660249825
0.5,0.1420127083439271
0.51,0.14523081043650277
0.52,0.14846504333294508
0.53,0.15171548788924505
0.54,0.15498222536668582
0.55,0.1582653374338744
0.56,0.1615649061687835
0.5700000000000001,0.16488101406080347
0.58,0.1682137440128041
0.59,0.17156317934320797
0.6,0.17492940378807265
0.61,0.17831250150318467
0.62,0.18171255706616307
0.63,0.18512965547857407
0.64,0.18856388216805597
0.65,0.19201532299045465
0.66,0.19548406423197073
0.67,0.19897019261131577
0.68,0.2024737952818808
0.6900000000000001,0.20599495983391514
0.7000000000000001,0.20953377429671582
0.71,0.21309032714082898
0.72,0.21666470728026077
0.73,0.22025700407470084
0.74,0.2238673073317563
0.75,0.22749570730919644
0.76,0.23114229471720982
0.77,0.23480716072067154
0.78,0.2384903969414225
0.79,0.24219209546055998
0.8,0.24591234882073998
0.81,0.2496512500284901
0.8200000000000001,0.2534088925565353
0.8300000000000001,0.25718537034613453
0.84,0.2609807778094292
0.85,0.2647952098318035
0.86,0.26862876177425676
0.87,0.2724815294757872
0.88,0.276353609255788
0.89,0.28024509791645535
0.9,0.28415609274520837
0.91,0.2880866915171215
0.92,0.2920369924973688
0.93,0.29600709444368056
0.9400000000000001,0.29999709660881224
0.9500000000000001,0.30400709874302556
0.96,0.30803720109658284
0.97,0.31208750442225297
0.98,0.3161581099778299
0.99,0.32024911952866464
1.0,0.32436063535020887
1.01,0.3284927602305723
1.02,0.3326455974730923
1.03,0.33681925089891607
1.04,0.34101382484959675
1.05,0.3452294241897016
1.06,0.3494661543094335
1.07,0.35372412112726626
1.08,0.35800343109259203
1.09,0.36230419118838275
1.1,0.36662650893386506
1.11,0.3709704923872075
1.12,0.3753362501482227
1.1300000000000001,0.3797238913610822
1.1400000000000001,0.3841335257170446
1.1500000000000001,0.38856526345719866
1.16,0.39301921537521856
1.17,0.3974954928201344
1.18,0.4019942076991153
1.19,0.40651547248026765
1.2,0.4110594001954464
1.21,0.4156261044430811
1.22,0.4202156993910159
1.23,0.4248282997793633
1.24,0.42946402092337344
1.25,0.4341229787163162
1.26,0.4388052896323793
1.27,0.4435110707295793
1.28,0.4482404396526888
1.29,0.4529935146361772
1.3,0.4577704145071667
1.31,0.46257125868840276
1.32,0.46739616720124
1.33,0.4722452606686426
1.34,0.4771186603181997
1.35,0.4820164879851564
1.36,0.48693886611545956
1.37,0.4918859177688186
1.3800000000000001,0.4968577666217828
1.3900000000000001,0.5018545369708323
1.4000000000000001,0.5068763537354859
1.41,0.5119233424614242
1.42,0.5169956293236289
1.43,0.522093341129535
1.44,0.5272166053222036
1.45,0.532365549983506
1.46,0.5375403038373272
1.47,0.5427409962527832
1.48,0.5479677572474546
1.49,0.5532207174906392
1.5,0.5585000083066161
1.51,0.5638057616779311
1.52,0.5691381102486948
1.53,0.5744971873278988
1.54,0.5798831268927496
1.55,0.5852960635920166
1.56,0.5907361327493994
1.57,0.5962034703669101
1.58,0.601698213128274
1.59,0.6072204984023464
1.6,0.6127704642465466
1.61,0.6183482494103096
1.62,0.6239539933385554
1.6300000000000001,0.6295878361751741
1.6400000000000001,0.6352499187665299
1.6500000000000001,0.6409403826649824
1.6600000000000001,0.6466593701324257
1.67,0.6524070241438442
1.68,0.6581834883908875
1.69,0.6639889072854628
1.7,0.6698234259633447
1.71,0.6756871902878041
1.72,0.6815803468532544
1.73,0.6875030429889166
1.74,0.693455426762503
1.75,0.6994376469839176
