time,CO2air,CO2top
266,374.09776553705075,374.11937651336007
267,374.00229168650714,374.016397819467
268,373.93998630731465,373.94919229603323
269,373.57841219844335,373.62993679520673
270,373.0287823040965,373.10814502759035
271,372.67746958966643,372.72941866913436
272,372.4476178264665,372.4816071678644
273,372.2972305216036,372.3194731843588
274,372.19883609206994,372.2133891886285
275,372.13445865643297,372.1439814869025
276,372.0923380921998,372.09856832021615
277,372.0647793388683,372.06885657447503
278,372.04674835750757,372.04941620764913
279,372.0349510659392,372.0366967853313
280,372.0272323338725,372.0283748235066
281,372.0221821455656,372.0229298531852
282,372.0188779065231,372.0193673597231
283,372.0167160143854,372.01703648181825
284,372.0153015362401,372.01551141074475
285,372.0143760690182,372.0145135962083
286,372.01377055862025,372.0138607327973
287,372.0133743845873,372.0134335841319
288,372.01311516310244,372.0131541034128
289,371.68953127532916,371.73550235995583
290,371.4858933152805,371.51604344663775
291,371.3524915870739,371.3722420179824
292,371.26509648258724,371.2780378999373
293,371.20784205632884,371.2163227046627
294,371.1703336870949,371.17588970005846
295,371.14576106922294,371.1494007542124
296,371.12966286696536,371.1320476561584
297,371.1191165930083,371.1206789171741
298,371.11220744714257,371.1132310930669
299,371.1076810837214,371.10835194844566
300,371.1047157815432,371.1051553334361
301,371.10277312491064,371.1030612145948
302,371.10150044086896,371.1016893211856
303,371.10066667965856,371.10079052668124
304,371.1001204587071,371.1002017229911
305,371.0997626162644,371.09981597812487
306,371.0995281842943,371.0995632717815
307,371.0993746337406,371.0993977433228
308,371.42347700351706,371.37744955433675
309,371.6271624079375,371.5970143267767
310,371.7604238946959,371.74069874103554
311,371.84761438898863,371.8347087841494
312,371.90466150027385,371.89621780070183
313,371.9419863062502,371.9364624461175
314,371.9664073416249,371.96279305596045
315,371.9823854862108,371.98002113492424
316,371.9928397211872,371.99129296800487
317,371.99967973772254,371.99866783110787
318,372.0041550172694,372.0034931430486
319,372.0070831007111,372.00665032330534
320,372.0089989053443,372.00871591795743
321,372.0102523746561,372.0100674170269
322,372.01107249625494,372.01095167873405
323,372.3346054497769,372.28868611585506
324,372.5376813368491,372.50764024142734
325,373.0568772523333,372.9824330102013
326,373.3856441161514,373.33703506240255
327,373.6001346832484,373.568420987475
328,373.7400750335978,373.7193844265999
329,374.1519708432748,374.09302468589186
330,374.41208988901343,374.37365210197265
331,374.5815762698352,374.5565287546545
332,374.69201188991974,374.6756916368949
333,374.7639708963166,374.7533372618876
334,374.8108589032399,374.80393000269527
335,374.8414106296575,374.8368967328823
336,374.8613179752564,374.8583772736382
337,374.8742894316628,374.8723739844734
338,374.8827415720568,374.8814938876052
339,374.88824891651825,374.88743630537437
340,374.89183743259156,374.8913085069466
